app,bu,criticality,env,services
"APP-10700","Application Delivery","High","PRD","[""SERVICE-5C9AF46F57F3D5DF"",""SERVICE-B0A16F87CEB9ED82""]"
"APP-1079","Data Mgmt","High","PRD","[""SERVICE-DA7D86818D040EA6"",""SERVICE-94C34D9008FF666C""]"
"APP-1095","Application Delivery","High","PRD","[""SERVICE-C2DE430DA78622FF""]"
"APP-1107","Application Delivery","High","PRD","[""SERVICE-9ECDBA094366DBE4"",""SERVICE-FFE1B10CA97BA48B"",""SERVICE-6F2713F9E041D84A"",""SERVICE-408E759C40B5196D"",""SERVICE-184BB029AC786C9D""]"
"APP-1113","Data Mgmt","High","PRD","[""SERVICE-23A4903F2E695087"",""SERVICE-51F6728EDF38ECCD"",""SERVICE-5691033202B6ECC3"",""SERVICE-CA3028EE0834B729"",""SERVICE-BE177F669BE1358A"",""SERVICE-843CEF2E7EBA7A4B"",""SERVICE-681A619CC1008612""]"
"APP-11359","Data Mgmt","Low","PRD","[""SERVICE-DDE7B11BECDA016B""]"
"APP-1137","Adv Tech & Ent Sol","Low","PRD","[""SERVICE-702412613B3CA930"",""SERVICE-CC7D066F5479D54E"",""SERVICE-F34FA4DBFAAB3705"",""SERVICE-4BCD26EB36F8057D"",""SERVICE-3316CAE1C178DBCF"",""SERVICE-DF17007914C80CA2"",""SERVICE-A7136E95F164F949"",""SERVICE-2EB3386CFC0A6111"",""SERVICE-CB230440C451CF08"",""SERVICE-AE966E02ABF21C31"",""SERVICE-B80577850AE808F5"",""SERVICE-D8FFEF40FEDF4390""]"
"APP-11728","IT Infrastructure & Operations","Low","PRD","[""SERVICE-A2311E9EB02C3819"",""SERVICE-3542460BA6DE201C"",""SERVICE-67095489AFDA2438"",""SERVICE-E2238BDA679B9AAD"",""SERVICE-89F3DFE5F32CAB22""]"
"APP-1179","Adv Tech & Ent Sol","High","PRD","[""SERVICE-99044E8F22152083"",""SERVICE-DEE052B191B5AD02"",""SERVICE-A8E4D1F98E7E65F4"",""SERVICE-3DF2DB5C8004105B"",""SERVICE-99FFCA91C01902B7"",""SERVICE-27AA7F5C64FA1D7F"",""SERVICE-01A0D24865F5CCEF"",""SERVICE-80AF7E6BB9746332"",""SERVICE-2AFF05095B07D9F9"",""SERVICE-66FB913B386B4883"",""SERVICE-7803740406568317""]"
"APP-12278","Application Delivery","Low","PRD","[""SERVICE-71124F85D426DA6E"",""SERVICE-2673D99BCA991CC5""]"
"APP-12339","null","null","PRD","[""SERVICE-5AD0D38BD1D12EE3"",""SERVICE-C0EE8AE21788CC95"",""SERVICE-79343393AFD3306E"",""SERVICE-1448B7065E497617"",""SERVICE-D7322B8360DE19FF"",""SERVICE-4769A40A079BC42C"",""SERVICE-D01A4A2DE3DB100C"",""SERVICE-E5995C37AAF739E6"",""SERVICE-5D43EB1B8B55F71C""]"
"APP-1234","Application Delivery","High","PRD","[""SERVICE-3F0525251DCE933F"",""SERVICE-D202F8D71BAA047F"",""SERVICE-466AF8327FCAD355"",""SERVICE-782B892840296437"",""SERVICE-F116334E0606595D"",""SERVICE-B166233DD9E6BDE0"",""SERVICE-91FA3552D31F6188"",""SERVICE-6D880ED0E47B2FC6"",""SERVICE-40A91E444B153F8C"",""SERVICE-E16A310790F07BE0"",""SERVICE-DC34494279EE9F1D"",""SERVICE-6B5BD99B8EF66F22"",""SERVICE-8C0EFE53CB1C0A5C"",""SERVICE-FF7C587191660123"",""SERVICE-C2500BA71A466E38"",""SERVICE-612037327E223E33"",""SERVICE-2D7BE909E1ABB3E0"",""SERVICE-19EF468EED35F4FB"",""SERVICE-79160B263C16976A"",""SERVICE-8BA077EDECE289AC"",""SERVICE-D3FAE8B496E5967D"",""SERVICE-747DA91BE455DB52"",""SERVICE-2DB2E7B09A985E85"",""SERVICE-990E8E77A7AD8E99"",""SERVICE-3FB089499362BBC9"",""SERVICE-2F4F59A765BBE829"",""SERVICE-3FB2B86641034530"",""SERVICE-0B77A6E157699A2B"",""SERVICE-13E69AF349DE053D"",""SERVICE-BBDB90F7EB3E89A4"",""SERVICE-4F7ECB9603A2E536"",""SERVICE-4AFDA72B0CAEF5B4"",""SERVICE-B15F9F8AFE4515AF"",""SERVICE-1FD22FA33B44E4FC"",""SERVICE-F0E54B61569F8519"",""SERVICE-6FA42A6C73C45D6E""]"
"APP-12372","Data Analytics Engineering","Low","PRD","[""SERVICE-8F36A90265BB7C3B""]"
"APP-1238","Application Delivery","High","PRD","[""SERVICE-B08FB6CC17EBFDF0""]"
"APP-12692","null","null","PRD","[""SERVICE-3737A0EABC03C3EF"",""SERVICE-34D5A03EB775EAE6"",""SERVICE-0051DE71FA6CAD2B"",""SERVICE-16856989ED22F117""]"
"APP-1270","Application Delivery","High","PRD","[""SERVICE-3C999DE48676C16D"",""SERVICE-B9049328B0587098"",""SERVICE-ED4027D5312B33C6"",""SERVICE-4E6AF71F332E84AC""]"
