app,hosts,bu,criticality,env
APP-4120,"[""HOST-8DB4DDD7ABFCC838"",""HOST-E516F6EE2D62BE4B"",""HOST-11ECD05452E830CD"",""HOST-7F3BE78659494759"",""HOST-67EB88027216373A"",""HOST-091A559C6CC307E8"",""HOST-A2D2E350568569E5"",""HOST-52AB94DDDBC9C6F2"",""HOST-F47CFA72DBA22AA3"",""HOST-65B07F2593E69713""]",Canada,High,PRD
APP-4132,"[""HOST-B12EACB4A5A467E6""]",Claims & SAP,Low,PRD
APP-4161,"[""HOST-8E08B601CAF304DC"",""HOST-B7A223C6481F0E47"",""HOST-BA1071DD0EF37ABF"",""HOST-435E41DD7E354405"",""HOST-7070CA445ADABA3E"",""HOST-2F7282410C60252F"",""HOST-1E71DCC652CE936E"",""HOST-58A0C20BC5330367"",""HOST-27D521A49A62616B""]",Data Analytics Engineering,High,PRD
APP-4463,"[""HOST-09FE261C3CA0C5C2"",""HOST-75C44762B3617494"",""HOST-CC5E772AC7DB9035"",""HOST-E0A23354E372498A""]",Claims & SAP,High,PRD
APP-4982,"[""HOST-3DC8C418CCDD951A"",""HOST-76E36EC8DAE529E1"",""HOST-AB73828A601D4C0D"",""HOST-8539B37E1AC3A60D"",""HOST-3CFBCDFF83332E24"",""HOST-22406E60C3E322F2"",""HOST-D91F838C200BD79C"",""HOST-563DAA7997FD81C8"",""HOST-33C0DEDD8D22CC9D"",""HOST-9915D0326CF0D9BE"",""HOST-9501206602D716DC""]",Claims & SAP,High,PRD
APP-4989,"[""HOST-7A57FBE8DB2D5823"",""HOST-F87BCEBC1BD31A7E"",""HOST-AC517858E2C84C50"",""HOST-D8C57AE06D15AD15""]",Adv Tech & Ent Sol,High,PRD
APP-5002,"[""HOST-3DA928A54E500BA3""]",Underwriting Systems,High,PRD
APP-5017,"[""HOST-D5832BF6DDFCE2B4""]",null,null,PRD
APP-6192,"[""HOST-5C9F60939A60BD10""]",Underwriting Systems,Low,PRD
APP-6222,"[""HOST-E6BBE5E1B138FC0C""]",Data Mgmt,Low,PRD
APP-6223,"[""HOST-80529A727996F206""]",Data Mgmt,Low,PRD
APP-6245,"[""HOST-E8C31B6D77401CD8"",""HOST-3B895BF67F17E99D""]",Data Mgmt,Low,PRD
APP-6335,"[""HOST-2C89CBAC8B19045D""]",null,null,PRD
APP-6336,"[""HOST-74FDA3F101E2DEFC""]",Adv Tech & Ent Sol,Low,PRD
APP-6358,"[""HOST-57C5F3B6A2ABB5F6""]",null,null,PRD
APP-6409,"[""HOST-82317E81A01EBFC3"",""HOST-859D72D841828D4E"",""HOST-92838CD72B1AF665"",""HOST-04B4AA555FC4F0A8"",""HOST-747F6C0BC2F94C8B"",""HOST-9D1F57B0CB9B5A11"",""HOST-03D9340E43521C7B"",""HOST-8D7A5BCA5ECEE366"",""HOST-41E58C8E70C16554"",""HOST-E66616121C85C370""]",Underwriting Systems,High,PRD
APP-6557,"[""HOST-3F745875B3A23515"",""HOST-4F7CD5709911FAD2"",""HOST-BA43F0DEAF715CAC""]",Claims & SAP,High,PRD
APP-6597,"[""HOST-1B08BA34D45DE9B7""]",Underwriting Systems,High,PRD
APP-6879,"[""HOST-DC626270168988CD"",""HOST-7CE7E667FE95BFBF"",""HOST-90ED754178728478"",""HOST-7064807148B1811C"",""HOST-7CBA2A8B942F3A70"",""HOST-16C0E76DEBCE5992""]",Data Mgmt,High,PRD
APP-7026,"[""HOST-CAFD9E3C7BA28F31"",""HOST-869A0BF127EB1F52"",""HOST-04D3D5568ADD2549""]",Crop,High,PRD
APP-7037,"[""HOST-C85F1BE6D96F2C88""]",Underwriting Systems,High,PRD
APP-7077,"[""HOST-8A125F17BC2D4969"",""HOST-69E6319E3338DB59""]",Underwriting Systems,Low,PRD
APP-7169,"[""HOST-68FE6110571B1F68"",""HOST-CDFD0979B2D0DCDA"",""HOST-2F29E3178232B2E8""]",Canada,High,PRD
APP-7439,"[""HOST-C71C783288686556"",""HOST-26BCF43AC81FAD61"",""HOST-4CE1C7DFE139F023"",""HOST-FC7A730078BB43FA"",""HOST-08BE5344B6B024FC"",""HOST-C84233C0C7090446"",""HOST-C8FC82792BA3B155"",""HOST-EFD004493BD9498D"",""HOST-27DB66BABF2BA08B""]",Underwriting Systems,High,PRD
APP-7469,"[""HOST-536867A29F136E3F"",""HOST-A36A8917D1A16060""]",Crop,Low,PRD
APP-7483,"[""HOST-B1DCE86CAD5511EB"",""HOST-564CB02D7D0D258D""]",Crop,High,PRD
APP-7604,"[""HOST-8E0CBDA7A20FD050"",""HOST-CC78E38647F67E39"",""HOST-584F4AF2EB66ACB4"",""HOST-1893462D1555E0F2"",""HOST-558349EFE2C1A9DB"",""HOST-051294CBD31E4E0C"",""HOST-A45C667C8B73E696"",""HOST-4151342CE5B2DCE3"",""HOST-DDB1970BFD573AB3""]",Data Analytics Engineering,Low,PRD
APP-7765,"[""HOST-B2EF25043CB94B91"",""HOST-AEEFE9EEE976EA87"",""HOST-4B708D1D9690C570"",""HOST-3B71B4C1169D4C44"",""HOST-6753710769417870"",""HOST-E87AB239CE6270B1"",""HOST-CCBB1B34A83D6A1A"",""HOST-1B92AB518056D7DA"",""HOST-1094B0EA872100EF"",""HOST-4847C2565D00D2B2"",""HOST-826F9C7220903856"",""HOST-2FCED0D68271F804"",""HOST-603409E69F2F5E9B"",""HOST-1BA89C32A71D1EF6"",""HOST-517481A4F79C5A8D"",""HOST-65516E8C333B42A2"",""HOST-C6207A02036103FE"",""HOST-457BE709D6487CB4"",""HOST-83813FDCEC824FC2"",""HOST-4681F9ADE8DB09A9"",""HOST-9F425B15A94D5349""]",Adv Tech & Ent Sol,High,PRD
APP-7766,"[""HOST-51C6084E05254B16"",""HOST-FE31E1C4EAA134F5""]",Adv Tech & Ent Sol,Low,PRD
APP-7767,"[""HOST-57A4DBF9CE2D56A9"",""HOST-54AF08BC043DB09F"",""HOST-B2955DED88396242"",""HOST-0812EA5976658A96""]",Underwriting Systems,Low,PRD
APP-7771,"[""HOST-9189A34BBBEC0420"",""HOST-1CE4237BA86AD5E2"",""HOST-AE1FA68A0222843E"",""HOST-75EBC30B9D3042D7""]",Crop,Low,PRD
APP-7776,"[""HOST-16916E43B36CACBC"",""HOST-C7CC68408A49005E"",""HOST-00D7730181E39021"",""HOST-F0570E59FA4CF48B"",""HOST-7EF1F4C7C60CA9D4"",""HOST-19E9333F13132F43"",""HOST-5CA0607F57A1BBF3"",""HOST-4DCDB66F3EC55F96"",""HOST-69C65BC1CB2C933E"",""HOST-E26ED8530B7AF75A"",""HOST-FAA7ACCCC4097FDD"",""HOST-E314F417A744F35C"",""HOST-8C95677C9ABA307C"",""HOST-951BEE4446FAC578""]",Adv Tech & Ent Sol,High,PRD
APP-7824,"[""HOST-9302C7F6DD3B34AD""]",Claims & SAP,High,PRD
APP-7825,"[""HOST-7A7C39CE23B25590"",""HOST-0148B2D2404C3E87""]",Data Mgmt,High,PRD
APP-7826,"[""HOST-56C5627E5AA186BC""]",Data Mgmt,Low,PRD
APP-8624,"[""HOST-031803F544F692AF"",""HOST-C9733842A65A8AB3"",""HOST-C3FA3A69907EA0DF"",""HOST-FE819DEB5A3CF444""]",null,null,PRD
APP-8697,"[""HOST-9670ABFA56D3AA82"",""HOST-815A4B646AFED501"",""HOST-F1CF0FAC085414AE"",""HOST-37CAA65814A74C0F"",""HOST-755DF6F0795B954D"",""HOST-26D6A378688E325B""]",Adv Tech & Ent Sol,Low,PRD
APP-8781,"[""HOST-388256C14FD6C274"",""HOST-039F13514829CAD3"",""HOST-F91AC4F5747C1E6A"",""HOST-385062E1D03010BD"",""HOST-4B04B06E94444F1F""]",Underwriting Systems,High,PRD
APP-8941,"[""HOST-F5FB1408DBC18DFD"",""HOST-E39751499B151C81"",""HOST-6744F79805B9646B""]",Underwriting Systems,Low,PRD
APP-9344,"[""HOST-E74C5181946BBF1D""]",Data Analytics Engineering,Low,PRD
APP-9347,"[""HOST-76DA7F0821B538EE""]",Adv Tech & Ent Sol,Low,PRD
APP-9397,"[""HOST-25D7F6AC5FB681AD""]",Data Mgmt,Low,PRD
APP-9417,"[""HOST-7D1F8A527A72CDA7""]",Canada,High,PRD
APP-946,"[""HOST-0C2FFE9A03716868"",""HOST-B1CD5A32DFC50ADB""]",Underwriting Systems,High,PRD
APP-9605,"[""HOST-1292416E2E66DF26"",""HOST-24FD60EC8A5FD7B6"",""HOST-3CE57C7C2464B271"",""HOST-F1445F428B3B0AD4"",""HOST-B25289690E15B8B4""]",Claims & SAP,Low,PRD
APP-9617,"[""HOST-B4845B97C4B01481"",""HOST-156E500B7A8D6BA9"",""HOST-3A95171651DABCFE"",""HOST-CAA3F1B7630C3C58"",""HOST-576E9547C0B70974"",""HOST-96FD3A3070156DC5""]",Canada,Low,PRD
APP-9711,"[""HOST-E064FC6CB346CC9E"",""HOST-CA927C640FFE3F0B"",""HOST-5A5DF583C6597FDC"",""HOST-E964D4DB4A0D33D1"",""HOST-8175CA1A75AE701B""]",Underwriting Systems,High,PRD
APP-9843,"[""HOST-E7C5D773010D1464"",""HOST-DDD272F85316AEDA"",""HOST-135535A91DE6CCF2"",""HOST-FDA9E9F475F1C60C"",""HOST-BAF736B6348FE212""]",null,null,PRD
COM-05670,"[""HOST-0F1BD0E55AC41450"",""HOST-6A9234875D7B951F""]",null,null,PRD
