app,hosts,bu,criticality,env
APP-1001,"[""HOST-C76C8CE09D55E56D"",""HOST-4B8683514DDBDEF5"",""HOST-E98A713697CFF0C1""]",Data Mgmt,High,PRD
APP-10073,"[""HOST-B04ABC6EAE2B69DF"",""HOST-01C982B56F0D50C8"",""HOST-73F9A94F049DCEB2"",""HOST-92B72A2C7B54EF85""]",null,null,PRD
APP-1013,"[""HOST-43A1F821E72130A6""]",Data Mgmt,High,PRD
APP-1016,"[""HOST-C84F1C8239A6E825""]",Underwriting Systems,High,PRD
APP-10213,"[""HOST-C3AEC92F5CC1C576"",""HOST-51363E583CA6E29D"",""HOST-15D2AA397B258968"",""HOST-8169D24BEA175D66""]",IT Infrastructure & Operations,Low,PRD
APP-1034,"[""HOST-0B5A352A6DCBF1D7""]",Underwriting Systems,Low,PRD
APP-1036,"[""HOST-ECAE576411A46A9E"",""HOST-9EF1A1E3F4F4360C"",""HOST-323D345498A9C577"",""HOST-DC6B54A06BCCE9CA"",""HOST-0AA53EEAF97EC6D9"",""HOST-65B7DC36DD799CDD"",""HOST-976A31ABF1ABCB4B"",""HOST-E2C01F57FC0E3DB5"",""HOST-F9B86F99911DDA4D""]",Adv Tech & Ent Sol,High,PRD
APP-10385,"[""HOST-A35925557F7A38B9"",""HOST-E0054BAED80F8177"",""HOST-93791F333B315406"",""HOST-619FE866960A2001""]",IT Infrastructure & Operations,Low,PRD
APP-1049,"[""HOST-90B5138D57DE0699"",""HOST-0D842CB71A109892"",""HOST-B728B776C262880E"",""HOST-C206BF28519A551F"",""HOST-022D690F1A3E7937"",""HOST-295E5C3F319E93E1"",""HOST-EA0D27AE59AF7F96"",""HOST-C610A1194A43C5C2"",""HOST-D93D08C5CEBC13A0"",""HOST-154595A326409239"",""HOST-92CB331115B81B39"",""HOST-D957B0C48DCD7ADA""]",Underwriting Systems,High,PRD
APP-1054,"[""HOST-BF37B1B2153D1BA4"",""HOST-9CAE676BC5025E9D"",""HOST-44A943CC5299200B"",""HOST-C71483857B956DF5"",""HOST-76658ACD61E638A8"",""HOST-444647B41E970B4A"",""HOST-4E93D2F6EDE547D9"",""HOST-45F244E1207DF915""]",Claims & SAP,High,PRD
APP-10592,"[""HOST-F4F2C8F732331C3C"",""HOST-89D83F8946909558"",""HOST-824FAC90B920628D"",""HOST-08BFA5D5FC9865E1"",""HOST-EBD24551B6C612D6"",""HOST-9B3EB138CB6C7597"",""HOST-B9ABCEE82A7D0D25"",""HOST-841676186A5FF32C"",""HOST-11E47FB06BD56C97"",""HOST-0AB5C4E779B658F2"",""HOST-10CA35F536A0220E"",""HOST-BCB0F6757B0E81E1"",""HOST-E55030464E4FD3D5""]",IT Infrastructure & Operations,Low,PRD
APP-10594,"[""HOST-BD03E6D773F88B4E"",""HOST-E70D558176CB6509"",""HOST-4675127D0A9C99FE"",""HOST-A55A970D532D2256"",""HOST-4D77C041A9189397"",""HOST-B6EBC236B254E78F"",""HOST-6F2816052A8BD694"",""HOST-51EED52D00F656D7"",""HOST-48B735CB27C40DED"",""HOST-517BE958EF137C29"",""HOST-D05A25924A6C8A45"",""HOST-F0C2A2822244BCA8"",""HOST-3B8B2ED6FAC6832B"",""HOST-32E85A89C1CD661A""]",Data Governance,High,PRD
APP-10595,"[""HOST-7506D77C4FE79060"",""HOST-C232A3EFC4109253""]",Underwriting Systems,High,PRD
APP-10691,"[""HOST-4BA987002AE21B00""]",Data Mgmt,Low,PRD
APP-10700,"[""HOST-DBDB0D7F457498C6"",""HOST-88F38EF9AF27161D"",""HOST-67D47BE28C77FEE0""]",Underwriting Systems,High,PRD
APP-1079,"[""HOST-19770756FEAD013A"",""HOST-46F81BC99AE7A6D8"",""HOST-C6F9F7E7AA7A4AEA"",""HOST-EE5CE461B23F60A7""]",Data Mgmt,High,PRD
APP-1081,"[""HOST-1BF864524A00C3B3"",""HOST-42D5E31242B278C2""]",Claims & SAP,Low,PRD
APP-1082,"[""HOST-EB19C68C32CAD59A""]",Claims & SAP,Low,PRD
APP-1095,"[""HOST-D860CD16314D18F2""]",Underwriting Systems,High,PRD
APP-1107,"[""HOST-59F8B8A43393023A"",""HOST-147EE9C3E37EFC47"",""HOST-B9936AB5724A04FD"",""HOST-30E58B995EEFA287"",""HOST-4A7A9021EE087FCE"",""HOST-6E65FF81A6D2FBF9""]",Claims & SAP,High,PRD
APP-1113,"[""HOST-82F22CEB829F89FB"",""HOST-2E6177E48F573FED""]",Data Mgmt,High,PRD
APP-11352,"[""HOST-EAEF55250FC5BF4A""]",IT Infrastructure & Operations,Low,PRD
APP-11359,"[""HOST-64318CA76A2315D8"",""HOST-83BB1B9E730612DF""]",Data Mgmt,Low,PRD
APP-1137,"[""HOST-123F931DC1331167"",""HOST-365235497911CE12"",""HOST-D45BCAB43A7690E6""]",Adv Tech & Ent Sol,Low,PRD
APP-1138,"[""HOST-54747172AFCE5D7F"",""HOST-BB2B517F9A4EFC50""]",Data Mgmt,Low,PRD
APP-11485,"[""HOST-EA804B685814BD97"",""HOST-C79F3E3C1606E387""]",Data Analytics Engineering,Low,PRD
APP-11504,"[""HOST-97E0A84CBC1A94C9""]",Information Security,Low,PRD
APP-1156,"[""HOST-0D3026753915A947""]",Underwriting Systems,High,PRD
APP-11569,"[""HOST-751B59AC8A7DC9DE""]",IT Infrastructure & Operations,Low,PRD
APP-11579,"[""HOST-5A894D659A0E7E70"",""HOST-45F356D24E28155F""]",Canada,Low,PRD
APP-11728,"[""HOST-C6F532443D78E804"",""HOST-98EAE17753B57799"",""HOST-F6D5F9DB0D8C848C"",""HOST-5CB9982EF1DC01B9"",""HOST-8659B5C1FCC864D2"",""HOST-7D773E9373734C5C"",""HOST-816ABB09267771E9"",""HOST-5C3C27686CB8AD42"",""HOST-1A92F1CD6175C46A""]",IT Infrastructure & Operations,Low,PRD
APP-1179,"[""HOST-DA1E3132E4DDBA4A"",""HOST-2D9CD61F4F79DED3"",""HOST-D745419313FBB609""]",Underwriting Systems,High,PRD
APP-11947,"[""HOST-BF6B79167F41292C"",""HOST-2364365335E0AA2D""]",IT Infrastructure & Operations,Low,PRD
APP-11955,"[""HOST-99B9F1E4FB6FA6E6""]",Adv Tech & Ent Sol,High,PRD
APP-12071,"[""HOST-1B7C9B9B2554461E""]",IT Infrastructure & Operations,Low,PRD
APP-12278,"[""HOST-A52B85A44772D7F8"",""HOST-27633A1EC2651595""]",Claims & SAP,Low,PRD
APP-12305,"[""HOST-3C272CD3CDE078E5"",""HOST-C765104435E33409"",""HOST-50EEC19EBF460175"",""HOST-571296A93DA195B3"",""HOST-8B9CF71779392B4F"",""HOST-BD246D07CE779624""]",Underwriting Systems,Low,PRD
APP-12339,"[""HOST-31CE6CA21236ABD1"",""HOST-B1D22BEAB07510A7"",""HOST-5526A368A5DB088A""]",null,null,PRD
