k8s.cluster.name,namespace,env,criticality
ZAPI PRD COM-6105,"[""CLOUD_APPLICATION_NAMESPACE-994DA11EEEED186D"",""CLOUD_APPLICATION_NAMESPACE-784E19282ADC0DFF"",""CLOUD_APPLICATION_NAMESPACE-F44BC79BEC511FF4"",""CLOUD_APPLICATION_NAMESPACE-0AAEFB4865389E58"",""CLOUD_APPLICATION_NAMESPACE-A213FA220D012D7E"",""CLOUD_APPLICATION_NAMESPACE-5F58BB5D72EE93F3"",""CLOUD_APPLICATION_NAMESPACE-EEABE6DB8A569478"",""CLOUD_APPLICATION_NAMESPACE-D321109C21CCCAAA""]",PRD,Low
Morpheus UAT 01 APP-1544,"[""CLOUD_APPLICATION_NAMESPACE-3D2A16BE1038FA5B"",""CLOUD_APPLICATION_NAMESPACE-85E8566DEF745D41"",""CLOUD_APPLICATION_NAMESPACE-DBEFA4CC7F09CDDF"",""CLOUD_APPLICATION_NAMESPACE-E8801C572C7971C5"",""CLOUD_APPLICATION_NAMESPACE-A54033CA371088E5"",""CLOUD_APPLICATION_NAMESPACE-02C0AA4CCC5AA406"",""CLOUD_APPLICATION_NAMESPACE-F5CD85D658897F6D"",""CLOUD_APPLICATION_NAMESPACE-2024364A22059F0B"",""CLOUD_APPLICATION_NAMESPACE-EEABDA58BD4A2DBE"",""CLOUD_APPLICATION_NAMESPACE-DC401D991D1FB647"",""CLOUD_APPLICATION_NAMESPACE-8086E9248464FAEF"",""CLOUD_APPLICATION_NAMESPACE-84E707E4588E6D22"",""CLOUD_APPLICATION_NAMESPACE-5FABF7281517C1FE"",""CLOUD_APPLICATION_NAMESPACE-8C82844988D73EB4""]",PRD,High
ZCam Dev 05 APP-11579,"[""CLOUD_APPLICATION_NAMESPACE-5C2E0E24EF613526"",""CLOUD_APPLICATION_NAMESPACE-B2B5A2CCD85D7AF1"",""CLOUD_APPLICATION_NAMESPACE-44D5B6775C1CCCEA"",""CLOUD_APPLICATION_NAMESPACE-1FA67B3A9658AD71"",""CLOUD_APPLICATION_NAMESPACE-270C36A4887B3D60"",""CLOUD_APPLICATION_NAMESPACE-43BD919DA2B34FA7"",""CLOUD_APPLICATION_NAMESPACE-1D54A3F3A5B3FB2C"",""CLOUD_APPLICATION_NAMESPACE-B183038C920853B6"",""CLOUD_APPLICATION_NAMESPACE-74EC847685DD4EB9"",""CLOUD_APPLICATION_NAMESPACE-7991E4A5C863FF73"",""CLOUD_APPLICATION_NAMESPACE-50665D12435FEC50"",""CLOUD_APPLICATION_NAMESPACE-00DAE2DA51A321AE"",""CLOUD_APPLICATION_NAMESPACE-FCAFA33C6E86557F""]",PRD,High
Morpheus TRN APP-1544,"[""CLOUD_APPLICATION_NAMESPACE-3DF06D887D25A1C2"",""CLOUD_APPLICATION_NAMESPACE-A46880304C299D2C"",""CLOUD_APPLICATION_NAMESPACE-6297B0FDB0D16506"",""CLOUD_APPLICATION_NAMESPACE-7F7AC81D5EAEAD73"",""CLOUD_APPLICATION_NAMESPACE-E75B725EF1852E1A"",""CLOUD_APPLICATION_NAMESPACE-066736DF4428AACF"",""CLOUD_APPLICATION_NAMESPACE-E9EFBE03B5A4A82F"",""CLOUD_APPLICATION_NAMESPACE-E4E32EF8A543FF7E"",""CLOUD_APPLICATION_NAMESPACE-099019F63C0FE4FE"",""CLOUD_APPLICATION_NAMESPACE-3DCBE72557690202"",""CLOUD_APPLICATION_NAMESPACE-39405A48DEC8404B"",""CLOUD_APPLICATION_NAMESPACE-B4E98154ACDA300A"",""CLOUD_APPLICATION_NAMESPACE-8F16B794F29D4CB1""]",PRD,Low
Elastic Search QA COM-6935,"[""CLOUD_APPLICATION_NAMESPACE-3FE657E76E240C74"",""CLOUD_APPLICATION_NAMESPACE-31E04B4203ED569C"",""CLOUD_APPLICATION_NAMESPACE-62B6FD05076E9B03"",""CLOUD_APPLICATION_NAMESPACE-A5BE5A42FC70D3F1"",""CLOUD_APPLICATION_NAMESPACE-5B95A1407B1CF0B9"",""CLOUD_APPLICATION_NAMESPACE-950AA1A18CC91F1E"",""CLOUD_APPLICATION_NAMESPACE-C2C4D9387FF41D6C"",""CLOUD_APPLICATION_NAMESPACE-33BDA6A685BA5FA9"",""CLOUD_APPLICATION_NAMESPACE-CF61005678850E53"",""CLOUD_APPLICATION_NAMESPACE-73706D47D7AE87D2"",""CLOUD_APPLICATION_NAMESPACE-C6C3DBCA86D6A571"",""CLOUD_APPLICATION_NAMESPACE-8AB6620607771EF4"",""CLOUD_APPLICATION_NAMESPACE-E0CF45C06CE20E66""]",PRD,High
Surety HotFix APP-1049,"[""CLOUD_APPLICATION_NAMESPACE-D38C454A98170844"",""CLOUD_APPLICATION_NAMESPACE-6B9DF8ECC087C680"",""CLOUD_APPLICATION_NAMESPACE-964DC8624C0956D1"",""CLOUD_APPLICATION_NAMESPACE-FDFE07BBDC14CFFA"",""CLOUD_APPLICATION_NAMESPACE-2B215910913A5F61"",""CLOUD_APPLICATION_NAMESPACE-DDCEADA27EC81934"",""CLOUD_APPLICATION_NAMESPACE-B541808D9D85DBB8"",""CLOUD_APPLICATION_NAMESPACE-47552CF773429BA5"",""CLOUD_APPLICATION_NAMESPACE-6BA7EE251194618B"",""CLOUD_APPLICATION_NAMESPACE-9E539EAB4A626AA7"",""CLOUD_APPLICATION_NAMESPACE-381146BF1A6AF5D7"",""CLOUD_APPLICATION_NAMESPACE-0EFFA4A88B943F05"",""CLOUD_APPLICATION_NAMESPACE-4D5B0DB22F80D06F"",""CLOUD_APPLICATION_NAMESPACE-D3DD40D9F92AB120"",""CLOUD_APPLICATION_NAMESPACE-844E7E4CA01534CE"",""CLOUD_APPLICATION_NAMESPACE-E628B553533408C8"",""CLOUD_APPLICATION_NAMESPACE-66D17D3113418D6D"",""CLOUD_APPLICATION_NAMESPACE-82BE1EBC9B91761A"",""CLOUD_APPLICATION_NAMESPACE-48A5C50004BFB03A"",""CLOUD_APPLICATION_NAMESPACE-4BADFC30B5421E14""]",PRD,High
Nordic PRD APP-4120,"[""CLOUD_APPLICATION_NAMESPACE-9AB4B36E4114D61D"",""CLOUD_APPLICATION_NAMESPACE-8F5A25297A72EAE5"",""CLOUD_APPLICATION_NAMESPACE-72A17A9BDF658BC1"",""CLOUD_APPLICATION_NAMESPACE-585F9D968C9AD970"",""CLOUD_APPLICATION_NAMESPACE-136290B3C66D3BA8"",""CLOUD_APPLICATION_NAMESPACE-D9FB88ADE44B0231"",""CLOUD_APPLICATION_NAMESPACE-1BF29F7F6CD48700"",""CLOUD_APPLICATION_NAMESPACE-73CC21DC6D85D02A"",""CLOUD_APPLICATION_NAMESPACE-AF2E60004CDBEAA1"",""CLOUD_APPLICATION_NAMESPACE-D0BDEC955D45829D"",""CLOUD_APPLICATION_NAMESPACE-7AEF1DB079D12FA4""]",PRD,Low
ZSearch PRD APP-8697,"[""CLOUD_APPLICATION_NAMESPACE-50E4F0B103676207"",""CLOUD_APPLICATION_NAMESPACE-E5B2516972CF6899"",""CLOUD_APPLICATION_NAMESPACE-321AA349638693B8"",""CLOUD_APPLICATION_NAMESPACE-B5DA130587763018"",""CLOUD_APPLICATION_NAMESPACE-0BD5E5B2DB6598F8"",""CLOUD_APPLICATION_NAMESPACE-01A0C06EA757191E"",""CLOUD_APPLICATION_NAMESPACE-1670504B65FDD0B1"",""CLOUD_APPLICATION_NAMESPACE-03D6666279A9FB45"",""CLOUD_APPLICATION_NAMESPACE-33383CA1C48B4AAA"",""CLOUD_APPLICATION_NAMESPACE-3F6948D3762637A5"",""CLOUD_APPLICATION_NAMESPACE-72AC0C7723F727FE"",""CLOUD_APPLICATION_NAMESPACE-9B74FD150E2409E7"",""CLOUD_APPLICATION_NAMESPACE-BFB951580B360C08"",""CLOUD_APPLICATION_NAMESPACE-E106EF5E2F021D7A"",""CLOUD_APPLICATION_NAMESPACE-7CCE40C91B54FEB6"",""CLOUD_APPLICATION_NAMESPACE-B81624BBC4E1C6E6"",""CLOUD_APPLICATION_NAMESPACE-40773A2DE3ECC45B""]",PRD,Low
Carepoint QA 01 APP-2455,"[""CLOUD_APPLICATION_NAMESPACE-01E90211E47178BA"",""CLOUD_APPLICATION_NAMESPACE-F0E074BFD8BEE4CD"",""CLOUD_APPLICATION_NAMESPACE-3D3C586888B65928"",""CLOUD_APPLICATION_NAMESPACE-99A891782DCB266F"",""CLOUD_APPLICATION_NAMESPACE-123E29D10485F274"",""CLOUD_APPLICATION_NAMESPACE-4870ECDC230B59F9"",""CLOUD_APPLICATION_NAMESPACE-FA00069D28FAFAD4"",""CLOUD_APPLICATION_NAMESPACE-72921DBF55D6F922"",""CLOUD_APPLICATION_NAMESPACE-FCA754D29321EFCE"",""CLOUD_APPLICATION_NAMESPACE-BF05D3F16AC2B55B"",""CLOUD_APPLICATION_NAMESPACE-66174669BDE14EDE"",""CLOUD_APPLICATION_NAMESPACE-2A38DE9DFF2A9404"",""CLOUD_APPLICATION_NAMESPACE-CC0B3661F569A449"",""CLOUD_APPLICATION_NAMESPACE-07CD1D1F5F74E049"",""CLOUD_APPLICATION_NAMESPACE-CCC4ED9CB0AAA6F6"",""CLOUD_APPLICATION_NAMESPACE-43163BAD97ED417E"",""CLOUD_APPLICATION_NAMESPACE-272FB7F7F38842B9"",""CLOUD_APPLICATION_NAMESPACE-659E29C556F65F0F""]",PRD,High
Morpheus PRD APP-1544,"[""CLOUD_APPLICATION_NAMESPACE-1D4ED4DBC19D18BD"",""CLOUD_APPLICATION_NAMESPACE-6A1D5884591C2A57"",""CLOUD_APPLICATION_NAMESPACE-4C3FC5FAAE97BC05"",""CLOUD_APPLICATION_NAMESPACE-A0BE9F0920883A8F"",""CLOUD_APPLICATION_NAMESPACE-17185B3859851016"",""CLOUD_APPLICATION_NAMESPACE-46DA42D273E0E922"",""CLOUD_APPLICATION_NAMESPACE-B566F65E74CBC8E3"",""CLOUD_APPLICATION_NAMESPACE-6BC7B7EE3E36B1C3"",""CLOUD_APPLICATION_NAMESPACE-F40DCD7AABA0B78C"",""CLOUD_APPLICATION_NAMESPACE-9B5221D0BA89FDEC"",""CLOUD_APPLICATION_NAMESPACE-48EFB24459E525EB"",""CLOUD_APPLICATION_NAMESPACE-19B5193E68E768C0"",""CLOUD_APPLICATION_NAMESPACE-CD5F25B8FAC29BCF"",""CLOUD_APPLICATION_NAMESPACE-5449D25885B0FE22""]",PRD,High
zPlus QA 01 APP-4716,"[""CLOUD_APPLICATION_NAMESPACE-1AD5C294E691CF23"",""CLOUD_APPLICATION_NAMESPACE-8DE8FB74E58A582E"",""CLOUD_APPLICATION_NAMESPACE-005EBF25CDD5B073"",""CLOUD_APPLICATION_NAMESPACE-8EE476FC1C19E4B4"",""CLOUD_APPLICATION_NAMESPACE-EFBEB1F4144286F3"",""CLOUD_APPLICATION_NAMESPACE-8732D1079AFE16BD"",""CLOUD_APPLICATION_NAMESPACE-539BDC81FFDEBC9D"",""CLOUD_APPLICATION_NAMESPACE-8A8DB0FB17D97F36"",""CLOUD_APPLICATION_NAMESPACE-960E2CD1DCE01C9E"",""CLOUD_APPLICATION_NAMESPACE-2702604904DF7B57"",""CLOUD_APPLICATION_NAMESPACE-D4A224432B85EA47"",""CLOUD_APPLICATION_NAMESPACE-EDB7CBCBFD0B943C"",""CLOUD_APPLICATION_NAMESPACE-0E9B7F80A48DE3C2"",""CLOUD_APPLICATION_NAMESPACE-16DDC5E89756F002"",""CLOUD_APPLICATION_NAMESPACE-493127DFF07B0535""]",PRD,High
ClaimsConnect DEV 02 APP-4982,"[""CLOUD_APPLICATION_NAMESPACE-329FC3A8B5DE7E9E"",""CLOUD_APPLICATION_NAMESPACE-40E9359B4588D28C"",""CLOUD_APPLICATION_NAMESPACE-169375B14F3AABD3"",""CLOUD_APPLICATION_NAMESPACE-BB6A1070FC370CFE"",""CLOUD_APPLICATION_NAMESPACE-859FEC74FE73FC2A"",""CLOUD_APPLICATION_NAMESPACE-8FE22DCDEF06747B"",""CLOUD_APPLICATION_NAMESPACE-ADF2545C74C4A933"",""CLOUD_APPLICATION_NAMESPACE-A96B0A446569D4A4"",""CLOUD_APPLICATION_NAMESPACE-11A5DD006DE93CB0"",""CLOUD_APPLICATION_NAMESPACE-5FB45122A858D389"",""CLOUD_APPLICATION_NAMESPACE-97F91F06810B685E"",""CLOUD_APPLICATION_NAMESPACE-2CCF99A9307489DC"",""CLOUD_APPLICATION_NAMESPACE-1C8AF7755BDDFE75"",""CLOUD_APPLICATION_NAMESPACE-977B9133A5F830A1"",""CLOUD_APPLICATION_NAMESPACE-881FE5DA15344653"",""CLOUD_APPLICATION_NAMESPACE-924EE5E0EF6FFD72"",""CLOUD_APPLICATION_NAMESPACE-2810681EC1A783E5"",""CLOUD_APPLICATION_NAMESPACE-2BF3C4804945D03C"",""CLOUD_APPLICATION_NAMESPACE-585F5F31D488A0AB"",""CLOUD_APPLICATION_NAMESPACE-8860AE64BCD6F278""]",PRD,Low
k8s_namespaces_by_cluster,"[""Carepoint DEV 01 APP-2455"",""Carepoint PRD 01 APP-2455"",""Carepoint QA 01 APP-2455"",""ClaimsConnect DEV 02 APP-4982"",""ClaimsConnect PRD 02 APP-4982"",""ClaimsConnect QA 01 APP-4982"",""DDC QA 04 APP-1036"",""Doks-zna-containerization-4-0 NP Shared"",""Doks-zna-containerization-4-0 PRD Shared"",""Elastic Search PRD COM-6935"",""Elastic Search QA COM-6935"",""Flexgateway DEV 02 COM-5372"",""Flexgateway PRD 02 COM-5372"",""Flexgateway QA 03 COM-5372"",""Flexgateway QA 04 COM-5372"",""Morpheus DEV 02 APP-1544"",""Morpheus DEV 03 APP-1544"",""Morpheus PRD APP-1544"",""Morpheus Perf 01 APP-1544"",""Morpheus QA 01 APP-1544"",""Morpheus QA 02 COM-1544"",""Morpheus QA 03 APP-1544"",""Morpheus TRN APP-1544"",""Morpheus UAT 01 APP-1544"",""Nordic DEV APP-4120"",""Nordic PRD APP-4120"",""Riskportrait DEV APP-1107"",""Riskportrait PRD APP-1107"",""Riskportrait QA APP-1107"",""Surety DEV APP-1049"",""Surety HotFix APP-1049"",""Surety PRD APP-1049"",""Surety QA APP-1049"",""Surety UAT APP-1049"",""ZAPI DEV COM-6105"",""ZAPI PRD COM-6105"",""ZAPI QA COM-6105"",""ZCam Dev 05 APP-11579"",""ZCam PRD 01 APP-11579"",""ZSearch PRD APP-8697"",""ZSearch QA 01 APP-8697"",""zPlus Dev 01 APP-4716"",""zPlus PRD 01 COM-4716"",""zPlus QA 01 APP-4716"",""zPlus UAT 01 APP-4716"",""zna-aks-cnd-p04""]",PRD,Low
