app,services,bu,criticality,env
APP-1013,"[""SERVICE-CC14B77F5AC61DD3""]",null,null,PRD
APP-1036,"[""SERVICE-C19CF68AAA87A8CB"",""SERVICE-180409C290383DEA"",""SERVICE-7D3AE57F2D95D129"",""SERVICE-2F0C49A7F1BB15AF"",""SERVICE-013DF9C35B88F937"",""SERVICE-1DF06BDE68D91DC1""]",Adv Tech & Ent Sol,High,PRD
APP-10362,"[""SERVICE-00EB53005F8733C7"",""SERVICE-EF098F4E759C791F""]",Adv Tech & Ent Sol,null,PRD
APP-10385,"[""SERVICE-E1F5C4D07FBFD091""]",null,null,PRD
APP-1049,"[""SERVICE-E082BD866592051A"",""SERVICE-1C07BC985A4B8556"",""SERVICE-C88577946500E880"",""SERVICE-CE1110889FA59E4D"",""SERVICE-DA99CE09C71E07E9"",""SERVICE-1B05A41BB75B3016"",""SERVICE-49724EF4E9C6F137"",""SERVICE-8A138F2CA64A5B50"",""SERVICE-99067DE7415714DB"",""SERVICE-1E8DF536EA96226C"",""SERVICE-3F67133DDC99175B"",""SERVICE-7DAB477A95727742"",""SERVICE-C1C843DA91C63A19""]",Underwriting Systems,High,PRD
APP-10592,"[""SERVICE-23E95D270A15E493""]",IT Infrastructure & Operations,Low,PRD
APP-10594,"[""SERVICE-566DAD5108E22AF5"",""SERVICE-14F1DBDF8454B52B"",""SERVICE-43CFC7A7D828A447"",""SERVICE-6A8E02FAC68BD9C5""]",IT Infrastructure & Operations,High,PRD
APP-10595,"[""SERVICE-F7E18B391DA4158B"",""SERVICE-E4F3C6AC5C826100"",""SERVICE-DD8B767BB864ADFF"",""SERVICE-23EE4933E19F3A26"",""SERVICE-84F49DD9D129A057""]",Underwriting Systems,High,PRD
APP-1079,"[""SERVICE-DA7D86818D040EA6""]",Data Mgmt,High,PRD
APP-1107,"[""SERVICE-6F2713F9E041D84A"",""SERVICE-408E759C40B5196D""]",Claims & SAP,High,PRD
APP-1113,"[""SERVICE-51F6728EDF38ECCD""]",null,null,PRD
APP-1137,"[""SERVICE-CC7D066F5479D54E"",""SERVICE-CB230440C451CF08""]",null,null,PRD
APP-1179,"[""SERVICE-3F61122BAE413920"",""SERVICE-C416264F0F72A84B""]",null,null,PRD
APP-12278,"[""SERVICE-71124F85D426DA6E""]",Claims & SAP,Low,PRD
APP-1234,"[""SERVICE-782B892840296437"",""SERVICE-91FA3552D31F6188"",""SERVICE-E16A310790F07BE0"",""SERVICE-C2500BA71A466E38"",""SERVICE-2D7BE909E1ABB3E0"",""SERVICE-8BA077EDECE289AC"",""SERVICE-3FB089499362BBC9"",""SERVICE-2F4F59A765BBE829"",""SERVICE-F0E54B61569F8519""]",Underwriting Systems,High,PRD
